# 
# QCancer(Lung)-2011 data tables.
# Copyright 2011 ClinRisk Ltd. 
#  
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
# 
# 
sex1,_t,basehaz_death_0_30,basehaz_event_0_30,timeyears
1,.02464066,.0000459,0,0
1,.08487337,.0000404,0,0
1,.15331964,.0000353,0,0
1,.19164956,.0000333,0,0
1,.19986311,.000033,0,0
1,.21081451,.0000325,0,0
1,.23545517,.0000312,0,0
1,.28473648,.0000293,0,0
1,.35318275,.0000273,0,0
1,.38877481,.0000263,0,0
1,.41889117,.0000256,0,0
1,.43805613,.0000253,0,0
1,.48459959,.0000243,0,0
1,.49555099,.000024,0,0
1,.5174538,.0000236,0,0
1,.55030801,.0000229,0,0
1,.56673511,.0000226,0,0
1,.58863792,.0000221,0,0
1,.60232717,.0000218,0,0
1,.64339493,.000021,0,0
1,.66803559,.0000207,0,0
1,.69267625,.0000203,0,0
1,.69815195,.0000202,0,0
1,.7063655,.0000201,0,0
1,.81861739,0,.0000104,0
1,.82956879,.000019,0,0
1,.85147159,.0000187,0,0
1,.862423,.0000186,0,0
1,.90349076,.0000182,0,0
1,.90622861,.0000182,0,0
1,1.0212183,.0000125,0,1
1,1.0349076,.0000124,0,1
1,1.0376454,.0000124,0,1
1,1.0677618,.0000122,0,1
1,1.0924025,.0000121,0,1
1,1.1115674,.0000119,0,1
1,1.2566735,.0000112,0,1
1,1.2731006,.0000111,0,1
1,1.3716632,.0000108,0,1
1,1.3744011,.0000108,0,1
1,1.3853525,.0000107,0,1
1,1.4373717,.0000106,0,1
1,1.4729637,.0000105,0,1
1,1.4948665,.0000104,0,1
1,1.5660507,.0000204,0,1
1,1.5852156,.0000101,0,1
1,1.596167,.0000101,0,1
1,1.6427105,9.93e-06,0,1
1,1.6591376,9.90e-06,0,1
1,1.6646133,9.88e-06,0,1
1,1.6810404,9.85e-06,0,1
1,1.6837782,9.83e-06,0,1
1,1.6947296,9.80e-06,0,1
1,1.7878166,9.96e-06,0,1
1,1.8234086,9.86e-06,0,1
1,1.8370979,9.83e-06,0,1
1,1.853525,9.80e-06,0,1
1,1.8699521,9.77e-06,0,1
1,1.8726899,9.75e-06,0,1
1,1.9493498,9.59e-06,0,1
1,1.963039,9.57e-06,0,1
1,1.9931554,9.48e-06,0,1
1,1.9958932,9.48e-06,0,1
1,2.0205339,.0000114,0,2
1,2.0260096,.0000182,0,2
1,2.0616016,9.07e-06,0,2
1,2.0643395,9.07e-06,0,2
1,2.0698152,9.08e-06,0,2
1,2.0752909,9.09e-06,0,2
1,2.0835044,9.08e-06,0,2
1,2.0862423,9.08e-06,0,2
1,2.0944559,9.08e-06,0,2
1,2.1218344,9.08e-06,0,2
1,2.1601643,9.08e-06,0,2
1,2.2450376,9.08e-06,0,2
1,2.2696783,9.06e-06,0,2
1,2.3107461,.0000181,0,2
1,2.3162218,9.07e-06,0,2
1,2.3408624,9.06e-06,0,2
1,2.3463381,9.06e-06,0,2
1,2.3819302,9.06e-06,0,2
1,2.384668,9.06e-06,0,2
1,2.3901437,9.06e-06,0,2
1,2.4202601,9.07e-06,0,2
1,2.4531143,.0000181,0,2
1,2.4969199,9.08e-06,0,2
1,2.4996578,9.08e-06,0,2
1,2.5462012,9.10e-06,0,2
1,2.568104,9.09e-06,0,2
1,2.5708419,9.09e-06,0,2
1,2.587269,.0000182,0,2
1,2.6036961,9.09e-06,0,2
1,2.6091718,9.09e-06,0,2
1,2.6310746,9.09e-06,0,2
1,2.6502396,9.09e-06,0,2
1,2.6529774,.0000182,0,2
1,2.6885695,.0000182,0,2
1,2.7077344,9.10e-06,0,2
1,2.7570157,9.10e-06,0,2
1,2.7679671,9.10e-06,0,2
1,2.7816564,9.49e-06,0,2
1,2.7926078,.000019,0,2
1,2.8062971,9.49e-06,0,2
1,2.8364134,9.49e-06,0,2
1,2.8418891,9.49e-06,0,2
1,2.8555784,9.49e-06,0,2
1,2.8665298,9.49e-06,0,2
1,2.8720055,9.50e-06,0,2
1,2.880219,9.49e-06,0,2
1,2.9431896,9.50e-06,0,2
1,3.0417522,9.14e-06,0,3
1,3.0527036,9.15e-06,0,3
1,3.0609172,9.14e-06,0,3
1,3.1074606,9.14e-06,0,3
1,3.1101985,9.13e-06,0,3
1,3.1293634,9.14e-06,0,3
1,3.1512663,9.15e-06,0,3
1,3.2142368,9.15e-06,0,3
1,3.2334018,9.15e-06,0,3
1,3.2361396,9.15e-06,0,3
1,3.2416153,9.15e-06,0,3
1,3.247091,9.15e-06,0,3
1,3.2553046,9.15e-06,0,3
1,3.2689938,9.15e-06,0,3
1,3.2881588,9.15e-06,0,3
1,3.2936345,9.15e-06,0,3
1,3.3237509,9.16e-06,0,3
1,3.3319644,.0000183,0,3
1,3.3347023,9.17e-06,0,3
1,3.3593429,9.17e-06,0,3
1,3.37577,9.17e-06,0,3
1,3.394935,9.16e-06,0,3
1,3.4086242,9.16e-06,0,3
1,3.4332649,9.16e-06,0,3
1,3.4414784,9.16e-06,0,3
1,3.4442163,9.16e-06,0,3
1,3.4469541,9.16e-06,0,3
1,3.4962355,9.19e-06,0,3
1,3.5017112,9.19e-06,0,3
1,3.5181383,9.20e-06,0,3
1,3.5701574,9.20e-06,0,3
1,3.6112252,9.20e-06,0,3
1,3.6276523,9.20e-06,0,3
1,3.6495551,9.19e-06,0,3
1,3.6687201,9.18e-06,0,3
1,3.6933607,9.18e-06,0,3
1,3.70705,9.20e-06,0,3
1,3.7262149,.0000184,0,3
1,3.7371663,9.21e-06,0,3
1,3.7453799,9.20e-06,0,3
1,3.7700205,9.57e-06,0,3
1,3.7809719,9.56e-06,0,3
1,3.7837098,9.56e-06,0,3
1,3.8028747,9.56e-06,0,3
1,3.8056126,9.56e-06,0,3
1,3.8275154,9.56e-06,0,3
1,3.8932238,9.56e-06,0,3
1,3.926078,9.56e-06,0,3
1,3.945243,9.56e-06,0,3
1,3.9698836,9.56e-06,0,3
1,4.0219028,9.18e-06,0,4
1,4.0246407,9.18e-06,0,4
1,4.0574949,9.17e-06,0,4
1,4.0602327,9.17e-06,0,4
1,4.0930869,.0000184,0,4
1,4.1368925,9.15e-06,0,4
1,4.202601,9.16e-06,0,4
1,4.2135524,9.16e-06,0,4
1,4.2245038,9.16e-06,0,4
1,4.2299795,9.16e-06,0,4
1,4.2436687,9.17e-06,0,4
1,4.2628337,9.18e-06,0,4
1,4.2902122,9.21e-06,0,4
1,4.2984257,9.20e-06,0,4
1,4.3148528,9.20e-06,0,4
1,4.3394935,9.20e-06,0,4
1,4.3778234,9.20e-06,0,4
1,4.4134155,9.21e-06,0,4
1,4.4188912,9.21e-06,0,4
1,4.4517454,9.21e-06,0,4
1,4.4626968,9.21e-06,0,4
1,4.4791239,9.20e-06,0,4
1,4.4818617,9.20e-06,0,4
1,4.4873374,9.22e-06,0,4
1,4.5010267,9.23e-06,0,4
1,4.5174538,.0000185,0,4
1,4.5284052,9.23e-06,0,4
1,4.5311431,9.23e-06,0,4
1,4.5612594,9.22e-06,0,4
1,4.5776865,9.23e-06,0,4
1,4.6023272,.0000185,4.83e-06,4
1,4.6461328,9.24e-06,0,4
1,4.6516085,0,4.83e-06,4
1,4.6570842,9.24e-06,0,4
1,4.6926762,9.24e-06,0,4
1,4.7145791,9.25e-06,0,4
1,4.7255305,9.25e-06,0,4
1,4.7310062,9.25e-06,0,4
1,4.7693361,9.25e-06,0,4
1,4.7802875,9.63e-06,0,4
1,4.7857632,9.63e-06,0,4
1,4.7939767,9.63e-06,0,4
1,4.7994524,.0000193,0,4
1,4.8377823,9.63e-06,0,4
1,4.8761123,9.62e-06,0,4
1,4.8870637,9.62e-06,0,4
1,4.9062286,9.62e-06,0,4
1,4.9144422,9.65e-06,0,4
1,4.91718,9.62e-06,0,4
1,4.9253936,9.62e-06,0,4
1,4.9801506,9.62e-06,0,4
1,4.9993155,9.63e-06,0,4
1,5.0047912,9.63e-06,0,5
1,5.0184805,9.63e-06,0,5
1,5.0403833,9.21e-06,0,5
1,5.0622861,9.21e-06,0,5
1,5.065024,9.22e-06,0,5
1,5.0677618,.0000184,0,5
1,5.0869268,9.23e-06,0,5
1,5.0896646,9.23e-06,0,5
1,5.0978782,9.24e-06,0,5
1,5.100616,9.25e-06,0,5
1,5.1060917,9.22e-06,0,5
1,5.119781,9.24e-06,0,5
1,5.1279945,9.24e-06,0,5
1,5.1362081,0,4.83e-06,5
1,5.1389459,9.23e-06,0,5
1,5.1526352,9.24e-06,0,5
1,5.1772758,9.25e-06,0,5
1,5.1854894,9.25e-06,0,5
1,5.1909651,9.25e-06,0,5
1,5.1937029,9.25e-06,0,5
1,5.2128679,9.25e-06,0,5
1,5.229295,9.26e-06,0,5
1,5.2429843,9.26e-06,0,5
1,5.2566735,9.26e-06,0,5
1,5.2621492,9.26e-06,0,5
1,5.2676249,9.26e-06,0,5
1,5.2950034,.0000185,0,5
1,5.3169062,9.27e-06,0,5
1,5.3552361,9.27e-06,0,5
1,5.3771389,9.26e-06,0,5
1,5.3826146,0,4.84e-06,5
1,5.3853525,9.26e-06,0,5
1,5.4017796,9.26e-06,0,5
1,5.4072553,9.26e-06,0,5
1,5.4346338,9.27e-06,0,5
1,5.4455852,9.27e-06,0,5
1,5.4592745,9.27e-06,0,5
1,5.4620123,9.27e-06,0,5
1,5.4647502,.0000185,0,5
1,5.467488,9.27e-06,0,5
1,5.4839151,.0000185,0,5
1,5.4976044,9.30e-06,0,5
1,5.5167693,9.30e-06,0,5
1,5.5195072,9.31e-06,0,5
1,5.5304586,9.30e-06,0,5
1,5.5331964,9.29e-06,0,5
1,5.5633128,9.30e-06,0,5
1,5.5660507,9.30e-06,0,5
1,5.5715264,9.30e-06,0,5
1,5.5824778,9.30e-06,0,5
1,5.596167,9.30e-06,0,5
1,5.6180698,9.31e-06,0,5
1,5.6536619,9.32e-06,0,5
1,5.6563997,9.32e-06,0,5
1,5.6618754,9.32e-06,0,5
1,5.7138946,9.32e-06,0,5
1,5.7303217,.0000186,0,5
1,5.7522245,9.32e-06,0,5
1,5.7686516,9.32e-06,0,5
1,5.779603,9.67e-06,0,5
1,5.8097194,9.66e-06,0,5
1,5.8261465,9.66e-06,0,5
1,5.83436,9.67e-06,0,5
1,5.8370979,9.67e-06,0,5
1,5.8453114,9.67e-06,0,5
1,5.8480493,9.67e-06,0,5
1,5.853525,9.67e-06,0,5
1,5.9329227,9.67e-06,0,5
1,5.9712526,9.68e-06,0,5
1,5.9767283,.0000194,0,5
1,5.9904175,9.68e-06,0,5
1,6.017796,9.69e-06,0,6
1,6.0260096,9.37e-06,0,6
1,6.036961,9.38e-06,0,6
1,6.0588638,9.36e-06,0,6
1,6.0752909,9.37e-06,0,6
1,6.0862423,9.36e-06,0,6
1,6.091718,9.36e-06,0,6
1,6.110883,9.35e-06,0,6
1,6.1190965,9.36e-06,0,6
1,6.1300479,9.36e-06,0,6
1,6.1409993,9.36e-06,0,6
1,6.1437372,9.36e-06,0,6
1,6.146475,9.37e-06,0,6
1,6.1574264,9.37e-06,0,6
1,6.16564,.0000187,0,6
1,6.1738535,9.37e-06,0,6
1,6.1765914,9.37e-06,0,6
1,6.2422998,9.38e-06,0,6
1,6.2669405,9.38e-06,0,6
1,6.2806297,9.39e-06,0,6
1,6.3326489,9.41e-06,0,6
1,6.3381246,9.40e-06,0,6
1,6.3600274,0,4.87e-06,6
1,6.3655031,9.42e-06,0,6
1,6.3682409,9.42e-06,0,6
1,6.3901437,9.43e-06,0,6
1,6.3956194,9.43e-06,0,6
1,6.4202601,9.44e-06,0,6
1,6.4449008,9.43e-06,0,6
1,6.4640657,9.43e-06,0,6
1,6.5023956,9.44e-06,0,6
1,6.5078713,9.45e-06,0,6
1,6.5379877,9.44e-06,0,6
1,6.5571526,9.45e-06,0,6
1,6.568104,9.45e-06,0,6
1,6.5763176,9.45e-06,0,6
1,6.5790554,9.45e-06,0,6
1,6.5982204,9.44e-06,0,6
1,6.6036961,9.44e-06,0,6
1,6.6639288,9.45e-06,0,6
1,6.6776181,9.45e-06,0,6
1,6.6885695,0,4.84e-06,6
1,6.696783,.0000189,0,6
1,6.6995209,.0000189,0,6
1,6.7049966,9.45e-06,0,6
1,6.7104723,9.45e-06,0,6
1,6.7132101,9.45e-06,0,6
1,6.7351129,9.46e-06,0,6
1,6.7488022,9.46e-06,0,6
1,6.7652293,9.48e-06,0,6
1,6.770705,9.83e-06,0,6
1,6.78987,.0000197,0,6
1,6.7980835,9.83e-06,0,6
1,6.8090349,9.83e-06,0,6
1,6.8336756,.0000197,0,6
1,6.8418891,9.85e-06,0,6
1,6.8555784,9.85e-06,0,6
1,6.8583162,9.85e-06,0,6
1,6.8637919,.0000197,0,6
1,6.8829569,9.85e-06,0,6
1,6.8856947,9.85e-06,0,6
1,6.8939083,9.85e-06,0,6
1,6.899384,9.85e-06,0,6
1,6.9103354,9.85e-06,0,6
1,6.9267625,9.86e-06,0,6
1,6.954141,9.86e-06,0,6
1,6.9596167,9.86e-06,0,6
1,6.9760438,9.86e-06,0,6
1,6.9815195,9.85e-06,0,6
1,6.9869952,9.87e-06,0,6
1,6.9897331,9.85e-06,0,6
1,7.008898,9.85e-06,0,7
1,7.0198494,.0000122,0,7
1,7.0417522,9.64e-06,0,7
1,7.0444901,0,4.96e-06,7
1,7.0581793,9.65e-06,0,7
1,7.063655,9.64e-06,0,7
1,7.0882957,9.65e-06,0,7
1,7.1129363,9.63e-06,0,7
1,7.1293634,9.63e-06,0,7
1,7.1403149,.0000192,0,7
1,7.1485284,9.63e-06,0,7
1,7.1704312,9.63e-06,0,7
1,7.1868583,9.63e-06,0,7
1,7.192334,9.64e-06,0,7
1,7.211499,9.64e-06,0,7
1,7.2525667,9.65e-06,0,7
1,7.2689938,.0000289,0,7
1,7.2826831,9.66e-06,0,7
1,7.2854209,9.66e-06,0,7
1,7.3237509,9.68e-06,0,7
1,7.3785079,9.71e-06,0,7
1,7.3921971,9.70e-06,0,7
1,7.4223135,.0000194,0,7
1,7.4277892,9.71e-06,0,7
1,7.4469541,9.71e-06,0,7
1,7.4880219,9.74e-06,0,7
1,7.5154004,9.75e-06,0,7
1,7.5400411,9.75e-06,0,7
1,7.5728953,9.76e-06,0,7
1,7.6030116,9.77e-06,0,7
1,7.6167009,9.77e-06,0,7
1,7.652293,9.78e-06,0,7
1,7.6659822,9.78e-06,0,7
1,7.687885,9.78e-06,0,7
1,7.6960986,9.78e-06,0,7
1,7.7152635,.0000195,0,7
1,7.742642,9.78e-06,0,7
1,7.7535934,9.78e-06,0,7
1,7.7754962,.0000102,0,7
1,7.8001369,.0000101,0,7
1,7.8193018,.0000102,0,7
1,7.8576318,.0000101,0,7
1,7.8685832,.0000101,0,7
1,7.8850103,.0000101,0,7
1,7.9041752,.0000102,0,7
1,7.9288159,.0000203,0,7
1,7.9479808,.0000102,0,7
1,7.9507187,.0000203,0,7
1,7.9726215,.0000203,0,7
1,8.0027379,.0000102,0,8
1,8.0219028,9.97e-06,0,8
1,8.0355921,9.98e-06,0,8
1,8.0602327,9.99e-06,0,8
1,8.0821355,.00002,0,8
1,8.0848734,9.99e-06,0,8
1,8.0903491,1.00e-05,0,8
1,8.1232033,9.99e-06,0,8
1,8.128679,1.00e-05,0,8
1,8.1396304,9.99e-06,0,8
1,8.1505818,.00001,0,8
1,8.1752225,1.00e-05,0,8
1,8.183436,.00001,0,8
1,8.1943874,.00002,0,8
1,8.2162902,1.00e-05,0,8
1,8.2409309,9.99e-06,0,8
1,8.2436687,9.99e-06,0,8
1,8.2546201,.00002,0,8
1,8.2902122,.0000201,0,8
1,8.2984257,.00001,0,8
1,8.3093771,.00002,0,8
1,8.3504449,.00001,0,8
1,8.3559206,.00001,0,8
1,8.3613963,.00001,0,8
1,8.366872,.00001,0,8
1,8.3750856,.00001,0,8
1,8.440794,.00001,0,8
1,8.4435318,.00001,0,8
1,8.4517454,.00001,0,8
1,8.4654346,.00001,0,8
1,8.4791239,.00001,0,8
1,8.4818617,.00001,0,8
1,8.5174538,.0000201,0,8
1,8.5338809,.0000101,0,8
1,8.5475702,.0000101,0,8
1,8.5612594,.0000101,0,8
1,8.6187543,.0000101,0,8
1,8.6214921,.0000101,0,8
1,8.62423,.0000101,0,8
1,8.6297057,.0000202,0,8
1,8.6652977,.0000101,0,8
1,8.6954141,.0000101,0,8
1,8.7227926,.0000101,0,8
1,8.752909,.0000101,0,8
1,8.7693361,.0000203,0,8
1,8.7830253,.0000105,0,8
1,8.7912389,.0000105,0,8
1,8.7994524,.000021,0,8
1,8.8459959,.0000105,0,8
1,8.8487337,.0000105,0,8
1,8.8542094,.000021,0,8
1,8.8733744,.0000105,0,8
1,8.881588,.0000105,0,8
1,8.8980151,.0000105,0,8
1,8.9226557,.000021,0,8
1,8.9253936,.0000105,0,8
1,8.936345,.0000105,0,8
1,8.9390828,.0000105,0,8
1,8.9500342,.0000105,0,8
1,8.9801506,.0000105,0,8
1,8.9828884,.0000105,0,8
1,9.0102669,.0000105,0,9
1,9.0403833,.0000103,0,9
1,9.0540726,.0000104,0,9
1,9.0732375,.0000104,0,9
1,9.1033539,.0000103,0,9
1,9.1088296,.0000103,0,9
1,9.119781,.0000104,0,9
1,9.1225188,.0000104,0,9
1,9.1279945,.0000104,0,9
1,9.1444216,.0000104,0,9
1,9.155373,.0000104,0,9
1,9.2046543,.0000104,0,9
1,9.2210815,.0000104,0,9
1,9.2238193,.0000104,0,9
1,9.229295,.0000104,0,9
1,9.2457221,.0000104,0,9
1,9.2895277,.0000104,0,9
1,9.3278576,.0000104,0,9
1,9.338809,.0000104,0,9
1,9.3607118,.0000104,0,9
1,9.3689254,.0000104,0,9
1,9.3798768,.0000104,0,9
1,9.3990418,.0000104,0,9
1,9.4072553,.0000104,0,9
1,9.4099932,.0000104,0,9
1,9.412731,.0000104,0,9
1,9.4236824,.0000104,0,9
1,9.4373717,.0000104,0,9
1,9.4537988,.0000208,0,9
1,9.4565366,.0000104,0,9
1,9.4729637,.0000104,0,9
1,9.4811773,.0000104,0,9
1,9.5030801,.0000105,0,9
